"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2020","30.23","28.41","31.96","27.91","28.68M","6.53%"
"10/18/2020","30.64","30.22","31.29","28.50","22.28M","1.36%"
"10/25/2020","28.51","30.63","32.37","27.58","24.27M","-6.96%"
"11/01/2020","27.76","28.51","29.86","25.84","23.19M","-2.62%"
"11/08/2020","27.91","27.76","28.94","27.31","19.50M","0.55%"
"11/15/2020","30.50","27.92","30.79","27.08","19.95M","9.25%"
"11/22/2020","29.16","32.33","35.38","26.45","39.04M","-4.38%"
"11/29/2020","29.73","29.15","31.88","28.65","22.52M","1.96%"
"12/06/2020","28.14","29.73","30.17","26.73","13.86M","-5.34%"
"12/13/2020","33.30","28.17","34.21","28.02","21.06M","18.32%"
"12/20/2020","33.59","33.30","35.63","30.03","33.26M","0.86%"
"12/27/2020","38.23","33.60","39.70","31.97","32.62M","13.83%"
"01/03/2021","43.83","38.24","44.47","37.78","39.44M","14.64%"
"01/10/2021","43.10","43.84","45.12","35.10","33.33M","-1.66%"
"01/17/2021","40.92","43.10","47.19","36.92","27.83M","-5.08%"
"01/24/2021","44.76","40.92","45.09","39.67","22.84M","9.39%"
"01/31/2021","72.58","44.77","75.43","43.35","36.81M","62.17%"
"02/07/2021","133.07","72.86","148.27","64.35","65.87M","83.35%"
"02/14/2021","254.36","133.09","346.82","118.64","79.37M","91.14%"
"02/21/2021","225.07","254.33","308.54","188.71","75.67M","-11.51%"
"02/28/2021","226.26","225.54","264.41","195.22","36.17M","0.53%"
"03/07/2021","275.89","226.26","314.44","225.20","40.63M","21.94%"
"03/14/2021","264.10","275.89","277.73","241.44","20.42M","-4.28%"
"03/21/2021","269.32","264.39","276.81","225.90","21.23M","1.98%"
"03/28/2021","321.53","269.31","356.51","261.24","30.08M","19.39%"
"04/04/2021","472.25","321.91","486.69","316.54","29.86M","46.88%"
"04/11/2021","515.13","471.54","636.11","459.50","34.14M","9.08%"
"04/18/2021","497.50","515.10","612.86","429.96","42.31M","-3.42%"
"04/25/2021","619.84","497.46","643.21","479.40","23.70M","24.59%"
"05/02/2021","646.18","619.91","679.98","595.75","18.96M","4.25%"
"05/09/2021","562.85","646.17","690.87","527.16","21.65M","-12.90%"
"05/16/2021","299.25","562.84","606.53","276.78","48.91M","-46.83%"
"05/23/2021","304.76","299.25","387.25","212.41","48.80M","1.84%"
